,Martin's b,,,,,,,,,,,,,,,,,,,,,,,,Remineralisation length scale coefficient (z*),,,,,,,,,,,,,,,,,,,,,,,
,Means of means,,,,,,,,,,,,Annual POC flux profile,,,,,,,,,,,,Means of means,,,,,,,,,,,,Annual POC flux profile,,,,,,,,,,,
,Not log-log,,,,,,Log-log,,,,,,Not log-log,,,,,,Log-log,,,,,,Not log-log,,,,,,Log-log,,,,,,Not log-log,,,,,,Log-log,,,,,
,Not normalised,,,Normalised,,,Not normalised,,,Normalised,,,Not normalised,,,Normalised,,,Not normalised,,,Normalised,,,Not normalised,,,Normalised,,,Not normalised,,,Normalised,,,Not normalised,,,Normalised,,,Not normalised,,,Normalised,,
Location,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion,100 m,zeu,Inflexion
HOT/ALOHA,0.62,0.89,2.04,0.75,NaN,2.17,0.76,0.85,1.1,0.9,1.12,1.13,1.02,1.04,1.06,0.98,1.06,1.48,0.86,0.88,0.9,1.26,1.33,1.24,275,292,113,214,NaN,125,NaN,NaN,NaN,NaN,1439,NaN,242,250,230,295,285,147,NaN,NaN,NaN,1827,1859,1776
BATS/OFP,0.72,0.93,2.35,0.76,NaN,4,0.87,0.93,1.18,0.86,NaN,1.58,1.17,1.17,1.23,1.33,1.33,1.5,1.08,1.06,1.09,1.47,1.39,1.49,275,269,113,235,NaN,50,2000,2000,1940,2000,NaN,1703,201,204,189,170,180,156,1877,1876,1870,1466,1556,1454
EqPac,0.86,2.23,2.23,0.82,2.25,2.25,1.1,1.35,1.35,1.7,1.84,1.84,1.33,1,1.32,1.39,1.02,1.34,1.16,1.08,1.13,1.59,1.4,1.58,195,64,64,234,93,93,1808,1542,1542,1169,1061,1061,105,160,105,118,219,117,1691,1718,1689,1215,1368,1208
PAP-SO,NaN,0.53,NaN,0.63,0.79,2.69,0.66,0.92,NaN,1.15,1.27,1.49,0.63,0.35,1.03,0.45,0.5,1.02,0.48,0.67,0.82,0.7,0.76,1.21,1173,379,NaN,386,276,95,NaN,NaN,NaN,NaN,NaN,NaN,534,583,244,568,508,313,NaN,NaN,1808,2000,2000,1895
OSP,1.6,0.27,1.23,0.76,0.34,0.72,0.92,0.37,0.99,1.2,0.46,1.03,0.62,0.64,0.95,0.86,0.87,1.12,0.76,0.76,0.92,1.2,1.21,1.19,71,1729,50,311,1240,113,NaN,NaN,NaN,1663,NaN,NaN,462,456,102,291,287,75,2000,2000,1759,1868,1856,1665
HAUSGARTEN,3.14,NaN,3.19,2.78,0.78,2.72,NaN,NaN,NaN,NaN,0.7,NaN,3.23,0.39,NaN,1.27,0.92,2.93,NaN,NaN,NaN,0.76,0.75,NaN,50,NaN,50,50,NaN,50,NaN,NaN,NaN,NaN,2000,NaN,50,NaN,NaN,97,99,NaN,NaN,NaN,NaN,1764,1756,NaN
